,,"Percentage change from Sep 20 to Dec 20",,,,,,,,
"NSW","Vic.","Qld","SA","WA","Tas.","NT","ACT","Aust.(a)"
"Final consumption expenditure",,,,,,,,,,
,"General government","1.5","0.8","-1.2","0.1","4.4","2.1","-0.3","-1.4","0.8"
,"Households","3.1","10.4","2.3","0.9","0.3","2.4","5.2","4.2","4.3"
"Gross fixed capital formation",,,,,,,,,,
,"Private","4.2","5.1","4.9","-1.5","1.5","8.4","14.1","4.8","3.9"
,"Public","2.2","1.5","4.1","6.1","1.3","5.7","-0.7","0.8","2.5"
"State final demand",,"2.9","6.8","2.0","0.6","1.5","3.3","4.1","1.3","3.3"

"- nil or rounded to zero (including null cells)"
"a. Australia estimates relate to Domestic final demand."

"Source: Australian Bureau of Statistics, Australian National Accounts: National Income, Expenditure and Product December 2020"